Tahun,Bulan,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Rata-rata
2014,Januari,422,163,28,497,282,227,433,81,294,459,372,28,226,285,204,458,237,320,359,170,48,58,458,317,37,175,19,102,173,124,164,233
,Februari,421,247,15,19,91,382,418,295,347,240,128,55,225,418,299,296,306,161,241,374,316,425,171,160,448,32,241,352,,,,254
,Maret,382,404,1,112,127,419,149,403,180,481,24,322,345,236,167,94,108,343,275,147,481,37,374,340,166,230,215,215,261,27,145,233
,April,94,163,125,205,282,498,219,22,1,226,88,65,173,24,70,114,206,371,229,429,196,229,100,335,96,390,34,426,116,18,,185
,Mei,153,112,152,260,73,3,77,326,335,16,286,234,312,168,215,393,262,129,380,495,110,499,7,9,415,51,108,447,3,249,440,217
,Juni,164,230,463,366,372,6,95,43,138,454,104,439,90,146,399,223,300,385,99,114,455,426,137,162,438,383,22,464,310,183,,254
,Juli,340,359,370,230,143,59,419,417,271,421,466,287,298,127,175,129,25,400,1,340,14,162,45,29,450,212,7,371,115,276,239,232
,Agustus,135,476,238,98,219,313,272,26,341,459,383,70,383,233,56,147,400,147,410,175,49,352,53,345,121,463,367,139,143,161,111,235
,September,5,400,72,29,143,340,417,315,77,130,471,443,357,198,360,6,409,71,363,494,34,151,160,24,276,467,458,75,375,338,,249
,Oktober,468,227,379,43,362,390,350,137,339,157,423,370,369,189,70,275,442,76,458,298,97,388,463,423,381,229,99,6,224,73,38,266
,November,13,349,243,214,499,230,77,102,12,392,311,265,299,198,371,298,195,174,466,113,64,26,472,403,354,438,488,96,93,387,,255
,Desember,270,246,471,497,185,232,284,261,445,83,152,238,25,99,406,350,172,26,430,22,56,245,138,235,251,318,275,305,297,91,386,242
2015,Januari,185,451,475,360,70,298,142,119,480,468,59,436,91,307,230,79,237,3,315,29,141,449,364,99,189,397,122,74,408,391,329,252
,Februari,424,71,67,92,197,67,60,493,492,323,356,189,436,465,49,258,83,223,379,198,14,461,281,41,187,314,286,264,,,,242
,Maret,116,372,365,259,401,0,350,486,42,413,85,313,367,184,219,69,465,20,136,489,33,399,294,265,22,27,148,76,84,369,98,225
,April,314,95,18,104,284,312,382,491,482,289,256,4,191,123,75,257,488,255,165,318,382,51,71,192,4,264,4,290,151,394,,224
,Mei,179,431,419,136,223,445,133,187,308,168,214,213,243,16,169,465,248,370,236,133,138,350,58,124,82,354,320,33,13,374,218,226
,Juni,52,280,122,307,291,391,386,263,104,10,256,47,400,280,418,273,392,190,351,137,326,28,498,416,235,34,341,367,280,409,,263
,Juli,278,367,224,469,220,266,238,396,284,34,197,77,33,93,86,67,10,117,20,51,226,70,334,438,35,159,197,265,310,375,126,196
,Agustus,38,115,413,29,330,118,159,374,100,294,365,388,155,345,24,460,15,48,202,162,182,477,377,155,3,61,411,323,471,331,289,233
,September,445,76,216,435,123,414,490,330,108,75,448,177,196,10,277,137,199,209,154,352,426,499,192,121,270,449,457,211,48,263,,260
,Oktober,0,275,491,415,419,228,297,220,291,498,179,380,178,109,482,387,39,205,376,369,8,5,219,209,473,298,482,160,199,265,320,273
,November,404,205,49,201,369,95,441,58,108,137,289,326,218,115,300,56,305,325,498,260,496,67,35,417,426,192,89,93,26,200,,227
,Desember,171,282,463,467,139,364,182,385,456,195,262,29,63,338,423,209,2,186,319,498,367,239,61,402,2,425,386,209,68,212,187,258
2016,Januari,62,45,13,175,203,183,426,147,64,351,180,119,496,85,53,239,289,486,231,362,105,20,428,241,394,126,364,335,119,131,368,221
,Februari,51,63,323,431,109,109,434,159,108,404,308,469,250,200,139,65,333,328,325,70,188,289,376,14,268,369,193,254,232,,,237
,Maret,249,95,467,446,394,429,296,164,311,190,311,263,194,412,191,313,76,64,485,485,113,402,195,313,125,291,98,490,418,270,135,280
,April,30,337,466,171,195,466,404,352,259,187,454,22,135,198,62,95,56,201,481,349,420,60,287,163,178,337,370,353,104,482,,256
,Mei,176,277,190,199,253,289,477,341,11,491,147,190,379,479,72,327,307,298,282,131,38,107,90,463,52,21,315,464,149,24,255,235
,Juni,257,252,161,74,157,21,85,9,274,371,78,93,362,497,255,374,316,475,380,139,321,307,10,422,331,134,377,345,63,226,,239
,Juli,270,232,457,381,145,477,499,387,175,273,376,291,487,31,276,51,415,381,376,161,341,442,319,279,12,65,391,19,26,435,344,284
,Agustus,33,434,378,158,409,187,39,458,148,482,408,474,341,213,207,303,201,239,32,339,265,357,232,349,201,397,200,365,286,102,473,281
,September,222,55,329,264,335,249,389,281,178,169,34,252,479,389,377,418,269,40,182,294,76,153,336,479,218,75,292,386,154,456,,261
,Oktober,366,428,48,372,154,130,293,42,427,350,169,196,296,435,110,415,189,140,324,408,9,406,220,174,133,462,405,445,371,359,218,274
,November,308,175,497,469,60,95,430,198,264,83,406,37,77,98,450,46,287,216,0,459,497,303,83,184,211,255,263,325,370,153,,243
,Desember,458,72,342,327,174,347,90,96,41,124,384,40,52,122,244,224,44,115,448,377,472,469,335,12,472,146,361,75,224,258,245,232
2017,Januari,112,142,259,28,354,152,467,188,408,495,173,322,59,152,256,449,58,472,464,24,142,51,283,433,142,114,385,27,112,67,469,234
,Februari,369,346,123,340,381,464,168,317,76,154,75,145,127,150,198,342,11,229,403,177,492,453,141,306,244,267,207,209,,,,247
,Maret,421,243,498,88,29,195,366,24,228,132,88,118,99,486,157,126,287,395,173,82,377,429,103,352,139,302,342,96,388,300,222,235
,April,422,245,150,385,360,374,274,300,353,249,305,439,82,181,6,373,388,262,22,105,327,49,80,379,122,398,273,472,112,468,,265
,Mei,120,137,296,493,376,157,20,217,22,465,173,276,265,321,173,357,467,211,439,23,0,492,181,85,328,94,488,174,262,380,138,246
,Juni,133,189,448,394,60,80,110,183,357,481,452,106,35,456,372,393,76,253,425,194,388,258,233,434,36,63,422,442,10,248,,258
,Juli,86,227,192,410,342,104,462,218,290,476,217,121,387,153,315,312,324,19,0,278,242,212,492,171,34,11,40,161,64,323,255,224
,Agustus,222,184,95,324,394,499,334,33,379,296,143,258,169,43,366,482,356,243,410,443,31,107,474,203,326,342,31,197,368,113,199,260
,September,254,462,6,322,257,241,41,12,124,264,381,101,330,362,116,393,260,321,246,21,81,386,22,148,398,221,483,466,474,203,,247
,Oktober,392,46,224,49,436,450,250,196,467,368,233,426,416,253,281,69,62,249,137,426,112,192,472,211,247,296,4,121,463,183,99,253
,November,323,100,498,412,247,153,168,372,427,486,110,378,469,14,405,0,228,292,227,348,371,365,370,241,286,220,346,469,474,288,,303
,Desember,344,465,315,393,123,420,218,54,91,98,32,240,493,144,472,285,82,73,107,158,201,312,140,441,123,151,369,16,97,120,388,225
2018,Januari,366,264,476,82,323,341,269,250,232,229,172,220,489,163,282,158,307,75,351,225,461,69,119,468,52,454,327,114,275,356,378,269
,Februari,392,269,406,126,283,110,101,51,157,481,182,55,362,220,218,150,368,93,246,256,232,246,124,425,365,36,373,436,,,,242
,Maret,329,447,80,40,300,16,254,301,413,272,218,134,213,41,96,133,324,103,168,91,331,171,499,94,89,435,375,443,163,39,32,214
,April,318,486,52,429,162,468,367,349,0,59,278,299,445,92,242,353,61,447,50,243,418,54,194,311,464,256,18,60,437,202,,254
,Mei,384,296,80,410,281,313,339,444,448,10,76,274,9,279,255,72,125,336,160,123,2,493,138,302,440,44,49,86,130,286,47,217
,Juni,443,461,334,244,231,318,41,378,109,204,138,344,480,470,184,275,433,246,411,82,193,444,251,308,59,6,140,75,490,357,,272
,Juli,477,51,94,379,265,309,75,47,111,423,323,15,350,107,83,58,76,137,460,477,367,277,414,261,305,154,280,47,47,171,295,224
,Agustus,180,62,443,350,113,157,115,245,357,216,294,458,135,349,155,281,9,110,377,5,80,29,285,221,292,174,358,191,206,364,81,216
,September,182,449,201,385,2,344,81,447,242,236,36,322,332,228,36,324,216,463,432,240,234,343,246,316,297,199,190,265,116,216,,254
,Oktober,167,126,99,211,460,77,206,268,57,268,420,84,108,160,77,50,409,48,53,35,209,466,49,156,392,49,309,101,289,32,143,180
,November,463,465,393,498,200,196,439,123,466,338,7,275,418,27,345,341,301,345,428,456,396,21,4,62,82,113,440,199,234,482,,285
,Desember,259,87,74,221,256,462,407,240,169,286,286,360,103,15,225,11,382,324,171,213,128,474,497,350,352,109,1,38,353,94,81,227
2019,Januari,279,388,464,31,218,470,93,104,344,399,71,105,318,256,342,194,120,111,230,24,480,127,204,22,334,338,307,289,42,313,51,228
,Februari,392,33,276,443,243,321,2,126,42,474,391,471,466,219,355,105,364,460,284,345,129,158,375,258,111,153,272,220,,,,267
,Maret,167,111,482,338,453,483,305,293,6,12,78,39,188,472,398,103,389,448,77,207,413,14,318,327,297,57,261,1,471,342,282,253
,April,76,134,272,340,158,130,179,203,95,358,201,477,52,346,416,289,270,108,413,153,428,492,59,44,318,180,146,233,126,421,,237
,Mei,219,404,487,158,126,117,376,352,361,481,393,95,123,352,241,373,471,302,296,114,73,326,463,9,47,208,426,184,111,233,51,257
,Juni,250,270,45,144,463,97,161,166,426,303,251,202,174,201,374,18,72,17,10,409,314,385,6,167,407,277,17,279,14,38,,199
,Juli,220,364,73,189,100,411,467,124,289,378,95,76,497,427,430,5,445,56,430,302,122,289,325,37,145,390,32,164,484,242,236,253
,Agustus,192,432,320,43,125,129,274,38,450,418,136,194,351,243,386,486,447,397,23,31,329,431,462,401,52,129,198,450,15,6,246,253
,September,110,200,359,424,115,78,463,64,388,36,417,66,41,128,474,85,306,22,480,321,14,113,126,165,100,468,183,411,432,297,,230
,Oktober,141,272,441,341,406,192,417,486,213,341,500,230,131,267,47,391,229,330,303,1,434,362,22,14,156,455,33,171,148,493,3,257
,November,273,94,348,457,19,467,192,36,310,459,257,400,225,253,111,301,23,390,354,344,24,170,274,33,133,491,267,341,222,321,,253
,Desember,43,97,254,269,403,421,28,257,424,245,432,121,499,214,223,162,207,372,1,244,126,320,472,394,264,428,330,489,495,156,271,279
