Tahun,Bulan,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Rata-rata
2000,Januari,36,68,203,65,219,264,438,427,25,468,87,226,292,287,164,353,249,131,204,344,320,61,309,136,337,417,298,417,76,214,113,234
,Februari,278,159,465,312,118,81,62,429,407,119,413,48,305,311,303,29,351,344,485,267,283,238,206,167,274,111,376,322,0,,,250
,Maret,40,357,236,2,72,423,93,8,137,436,127,487,427,142,31,347,345,395,485,228,380,172,429,324,184,106,358,64,490,224,335,254
,April,276,284,185,457,140,462,138,113,93,287,420,465,236,15,145,486,5,141,123,11,12,146,434,202,56,414,27,321,229,245,,219
,Mei,298,194,490,134,474,76,30,126,338,238,387,28,155,319,453,466,17,7,101,428,460,328,466,433,105,78,305,80,317,96,86,242
,Juni,119,355,58,456,328,370,2,378,368,52,349,274,303,251,107,382,113,345,405,308,225,401,421,498,302,422,328,358,1,448,,291
,Juli,258,435,254,232,166,161,188,472,462,412,460,379,64,70,262,489,251,341,67,197,288,17,42,232,64,423,56,48,441,233,133,245
,Agustus,481,164,271,94,130,480,268,225,309,33,471,47,69,292,431,275,31,172,182,38,97,225,157,190,251,441,179,9,72,122,210,207
,September,48,198,257,181,456,246,53,21,62,328,405,381,360,434,367,395,48,80,183,139,135,271,447,304,316,291,148,32,211,300,,237
,Oktober,332,473,4,26,358,383,354,157,284,0,66,392,259,171,181,356,331,45,40,268,325,150,233,326,381,147,462,44,135,36,456,231
,November,59,360,194,152,355,306,381,85,396,262,16,230,250,205,236,120,482,426,446,440,67,295,484,47,500,349,233,56,494,140,,269
,Desember,321,448,456,485,288,299,118,129,138,27,3,225,335,138,35,430,196,312,459,72,195,470,271,110,131,276,153,32,234,261,58,229
2001,Januari,266,116,274,329,9,7,448,73,266,39,319,191,357,475,110,66,500,230,314,5,37,500,201,297,409,49,432,103,151,16,445,227
,Februari,320,458,82,390,448,59,14,398,441,183,479,125,115,75,264,79,162,449,425,407,64,17,394,147,269,247,150,330,,,,250
,Maret,119,204,206,286,325,84,320,149,14,441,262,468,310,411,11,494,319,282,412,324,277,459,42,172,341,397,37,377,243,31,362,264
,April,332,214,321,65,265,282,213,346,91,64,471,80,454,500,55,282,146,36,330,116,3,9,408,447,73,471,255,421,469,223,,248
,Mei,317,460,214,179,55,275,343,230,312,137,355,455,192,446,437,189,39,186,168,37,241,28,50,409,308,462,156,296,215,51,432,248
,Juni,37,178,317,499,34,26,273,30,275,97,269,481,67,359,65,454,403,428,136,448,370,426,57,225,186,410,72,477,138,337,,252
,Juli,361,225,264,65,373,252,54,251,94,471,429,1,87,43,245,421,498,163,123,279,234,427,388,210,108,428,40,67,298,292,418,245
,Agustus,174,39,276,352,130,185,352,188,418,411,427,226,489,341,78,217,359,61,389,61,493,250,356,363,288,408,459,53,175,341,312,280
,September,321,135,270,291,85,465,230,175,187,181,205,305,0,102,201,22,160,271,29,436,350,218,449,468,240,30,481,360,471,322,,249
